                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3404,                 3.5173,                   3.74,                0.00701,                0.50074,                0.01605,                0.00369,                 2.9528,                 4.1739,                 3.4244,             0.00066471,             0.00066471,             0.00066471
                      2,                 2.7468,                 3.2022,                 2.9169,                0.06073,                0.13333,                0.02432,                 0.0072,                 2.4757,                 4.1978,                 2.8836,              0.0012655,              0.0012655,              0.0012655
                      3,                 2.4472,                 2.8802,                 2.5226,                0.17054,                0.26074,                0.09516,                0.03154,                 2.2607,                 3.5256,                 2.7294,              0.0018002,              0.0018002,              0.0018002
                      4,                  2.262,                 2.6436,                 2.3144,                 0.2943,                 0.2963,                0.18715,                0.07228,                 2.0534,                 2.6433,                 2.4485,               0.001703,               0.001703,               0.001703
                      5,                  2.159,                 2.4961,                 2.1811,                0.43375,                0.31556,                0.27685,                 0.1193,                  1.937,                 2.5639,                 2.3521,               0.001703,               0.001703,               0.001703
                      6,                 2.0677,                 2.3874,                 2.1005,                0.34323,                 0.3363,                0.24608,                0.10985,                 1.8574,                  2.525,                 2.2487,               0.001604,               0.001604,               0.001604
                      7,                 2.0172,                  2.309,                 2.0255,                0.33437,                0.33926,                0.21233,                0.09984,                    1.9,                 2.5726,                 2.2695,               0.001505,               0.001505,               0.001505
                      8,                 1.9763,                 2.2411,                 1.9761,                0.36074,                0.33926,                0.24601,                0.12244,                 1.8051,                 2.7425,                 2.1562,               0.001406,               0.001406,               0.001406
                      9,                 1.9165,                  2.186,                 1.9433,                0.39611,                0.37778,                0.26659,                0.12805,                 1.8209,                 2.5084,                 2.1497,               0.001307,               0.001307,               0.001307
                     10,                 1.8903,                 2.1222,                 1.9014,                0.46498,                0.39704,                0.35526,                0.16831,                 1.7558,                 2.1696,                  2.084,               0.001208,               0.001208,               0.001208
                     11,                 1.8902,                 2.1396,                 1.9407,                0.37648,                0.38106,                0.26748,                0.13629,                 1.6794,                 2.3495,                 1.9913,               0.001109,               0.001109,               0.001109
                     12,                 1.8592,                 2.0506,                  1.899,                0.29519,                0.35407,                0.21227,                0.10164,                 1.6613,                 2.6789,                 1.9545,                0.00101,                0.00101,                0.00101
                     13,                 1.8105,                 1.9875,                  1.868,                0.42392,                0.37333,                0.29789,                0.16601,                 1.6301,                 2.2601,                 1.9565,               0.000911,               0.000911,               0.000911
                     14,                 1.7942,                 1.9368,                 1.8424,                0.52753,                0.41185,                0.38234,                0.22135,                  1.543,                 1.9682,                 1.8586,               0.000812,               0.000812,               0.000812
                     15,                 1.7631,                 1.9129,                 1.8276,                 0.5112,                0.41481,                 0.3948,                0.23467,                 1.5298,                 1.9956,                 1.8246,               0.000713,               0.000713,               0.000713
                     16,                 1.7414,                 1.8634,                 1.8007,                 0.5041,                0.40444,                0.40467,                 0.2382,                 1.5296,                 1.9004,                 1.8305,               0.000614,               0.000614,               0.000614
                     17,                 1.7221,                 1.8283,                 1.7841,                0.38795,                0.42074,                 0.3306,                0.19833,                  1.502,                 2.0961,                 1.8074,               0.000515,               0.000515,               0.000515
                     18,                 1.7156,                    1.8,                 1.7764,                0.45327,                   0.44,                0.39425,                0.23535,                 1.4927,                 1.9614,                 1.7921,               0.000416,               0.000416,               0.000416
                     19,                 1.6868,                  1.763,                 1.7463,                0.50735,                0.41804,                0.41074,                0.24935,                 1.4427,                 1.9723,                 1.7516,               0.000317,               0.000317,               0.000317
                     20,                 1.6625,                 1.7304,                 1.7264,                0.46157,                0.40593,                0.38081,                0.23282,                 1.4744,                 2.0121,                 1.7767,               0.000218,               0.000218,               0.000218
